case:concept:name,observation,time:timestamp
S162903,A,480.0
S162905,A,480.0
S162738,A,480.0
S162865,Create Fine - 11,480.0
S162543,A,480.0
S162746,A,480.0
S162865,A,480.0
S162862,A,480.0
S162750,A,480.0
S157647,A,480.0
S162952,A,480.0
S162954,A,480.0
S162952,Create Fine - 49,480.0
S161578,A,480.0
S162538,A,480.0
S162955,A,480.0
S157649,A,480.0
S162397,A,480.0
S162536,A,480.0
S161601,A,480.0
S162537,A,480.0
S161488,A,480.0
S162956,A,480.0
S162741,A,480.0
S161489,A,480.0
S162744,A,480.0
S161487,A,480.0
S162957,Create Fine - 49,480.0
S161601,Create Fine - 44,480.0
S161489,Create Fine - 63,480.0
S162862,Create Fine - 11,480.0
S162954,Create Fine - 49,480.0
S162951,Create Fine - 49,480.0
S162741,Create Fine - 49,480.0
S162738,Create Fine - 49,480.0
S162746,Create Fine - 49,480.0
S162750,Create Fine - 49,480.0
S162909,Create Fine - 53,480.0
S162905,Create Fine - 53,480.0
S157647,Create Fine - 44,480.0
S157649,Create Fine - 44,480.0
S162903,Create Fine - 53,480.0
S162744,Create Fine - 49,480.0
S162909,A,480.0
S162397,Create Fine - 40,480.0
S162951,A,480.0
S161578,Create Fine - 26,480.0
S162956,Create Fine - 49,480.0
S162534,Create Fine - 31,480.0
S162538,Create Fine - 31,480.0
S162543,Create Fine - 31,480.0
S162536,Create Fine - 31,480.0
S162955,Create Fine - 49,480.0
S162537,Create Fine - 31,480.0
S161488,Create Fine - 63,480.0
S161487,Create Fine - 63,480.0
S147848,A,504.0
S161496,Create Fine - 63,504.0
S162963,Create Fine - 49,504.0
S161496,A,504.0
S161588,A,504.0
S161587,A,504.0
S161653,A,504.0
S147848,Create Fine - 16,504.0
S161653,Create Fine - 40,504.0
S161587,Create Fine - 26,504.0
S161585,Create Fine - 26,504.0
S161656,A,504.0
S161583,Create Fine - 26,504.0
S157081,Create Fine - 47,504.0
S162914,Create Fine - 53,504.0
S161656,Create Fine - 40,504.0
S157081,A,504.0
S161583,A,504.0
S157376,Create Fine - 43,504.0
S162545,A,504.0
S161585,A,504.0
S162961,A,504.0
S162914,A,504.0
S162961,Create Fine - 49,504.0
S157376,A,504.0
S162545,Create Fine - 31,504.0
S162965,Create Fine - 49,504.0
S161588,Create Fine - 26,504.0
S162965,A,504.0
S162963,A,504.0
S161657,A,528.0
S161503,Create Fine - 29,528.0
S161702,Create Fine - 63,528.0
S161657,Create Fine - 40,528.0
S162967,Create Fine - 49,528.0
S161702,A,528.0
S162867,A,528.0
S157377,Create Fine - 43,528.0
S157377,A,528.0
S157382,A,528.0
S162867,Create Fine - 11,528.0
S157382,Create Fine - 43,528.0
S161503,A,528.0
S162967,A,528.0
S161659,A,552.0
S161661,A,552.0
S162868,A,552.0
S161659,Create Fine - 40,552.0
S162868,Create Fine - 11,552.0
S161661,Create Fine - 40,552.0
S162873,Create Fine - 11,576.0
S162920,A,576.0
S162873,A,576.0
S161709,A,576.0
S161665,A,576.0
S162920,Create Fine - 53,576.0
S162919,A,576.0
S161665,Create Fine - 40,576.0
S161709,Create Fine - 63,576.0
S162919,Create Fine - 53,576.0
S161508,Create Fine - 29,600.0
S161506,Create Fine - 29,600.0
S161671,Create Fine - 40,600.0
S161669,A,600.0
S161604,Create Fine - 44,600.0
S161672,Create Fine - 40,600.0
S161666,Create Fine - 40,600.0
S161717,Create Fine - 63,600.0
S161610,Create Fine - 44,600.0
S162874,Create Fine - 11,600.0
S161712,A,600.0
S161592,Create Fine - 26,600.0
S161670,Create Fine - 40,600.0
S161667,Create Fine - 40,600.0
S161712,Create Fine - 63,600.0
S161612,Create Fine - 44,600.0
S161717,A,600.0
S162874,A,600.0
S161672,A,600.0
S161512,Create Fine - 29,600.0
S161604,A,600.0
S161592,A,600.0
S161667,A,600.0
S161612,A,600.0
S161669,Create Fine - 40,600.0
S161506,A,600.0
S161508,A,600.0
S161512,A,600.0
S161671,A,600.0
S161511,Create Fine - 29,600.0
S161666,A,600.0
S161610,A,600.0
S161670,A,600.0
S161511,A,600.0
S161721,Create Fine - 63,624.0
S161725,A,624.0
S161720,A,624.0
S161721,A,624.0
S161725,Create Fine - 63,624.0
S161727,Create Fine - 63,624.0
S161730,Create Fine - 63,624.0
S161720,Create Fine - 63,624.0
S161730,A,624.0
S161727,A,624.0
S162969,A,648.0
S161595,A,648.0
S161807,A,648.0
S155696,A,648.0
S162970,A,648.0
S161755,A,648.0
S161754,A,648.0
S161673,A,648.0
S161801,Create Fine - 26,648.0
S162414,A,648.0
S161805,A,648.0
S161801,A,648.0
S161613,A,648.0
S161673,Create Fine - 40,648.0
S155696,Create Fine - 57,648.0
S161805,Create Fine - 26,648.0
S161675,Create Fine - 40,648.0
S162415,Create Fine - 30,648.0
S161613,Create Fine - 44,648.0
C22080,Insert Fine Notification - ,648.0
S161595,Create Fine - 26,648.0
S162970,Create Fine - 49,648.0
S161755,Create Fine - 31,648.0
S161807,Create Fine - 26,648.0
S162969,Create Fine - 49,648.0
S162415,A,648.0
S162414,Create Fine - 30,648.0
S161675,A,648.0
S161754,Create Fine - 31,648.0
S147849,Create Fine - 16,672.0
S161681,Create Fine - 40,672.0
S161733,Create Fine - 63,672.0
S161680,Create Fine - 40,672.0
S161809,Create Fine - 26,672.0
S133525,Create Fine - 45,672.0
S161513,Create Fine - 29,672.0
C21987,Create Fine - 40,672.0
S161739,Create Fine - 63,672.0
S162883,Create Fine - 11,672.0
C22077,Create Fine - 28,672.0
S162882,Create Fine - 11,672.0
S161513,A,672.0
C21987,A,672.0
S161680,A,672.0
S162883,A,672.0
S162882,A,672.0
S161809,A,672.0
S161681,A,672.0
S161739,A,672.0
C22077,A,672.0
S147849,A,672.0
S161733,A,672.0
S133525,A,672.0
S161812,A,696.0
S161617,A,696.0
S158198,A,696.0
S162926,A,696.0
S161615,A,696.0
S161616,A,696.0
S162576,A,696.0
S161743,Create Fine - 63,696.0
S161740,A,696.0
S162971,A,696.0
S162971,Create Fine - 49,696.0
S162579,A,696.0
S162579,Create Fine - 52,696.0
S161743,A,696.0
S162418,A,696.0
S161617,Create Fine - 44,696.0
S161812,Create Fine - 26,696.0
S161615,Create Fine - 44,696.0
S158198,Create Fine - 62,696.0
S161616,Create Fine - 44,696.0
S162576,Create Fine - 52,696.0
S162926,Create Fine - 53,696.0
S161740,Create Fine - 63,696.0
S162418,Create Fine - 30,696.0
S161692,Create Fine - 40,720.0
S162973,A,720.0
S161813,A,720.0
S162929,A,720.0
S161745,A,720.0
S162972,A,720.0
S162583,Create Fine - 52,720.0
S162973,Create Fine - 49,720.0
S161749,A,720.0
S162981,A,720.0
S161746,A,720.0
S161517,A,720.0
S162976,A,720.0
S162982,A,720.0
S162929,Create Fine - 53,720.0
S162885,A,720.0
S161759,Create Fine - 31,720.0
S162885,Create Fine - 11,720.0
S162987,Create Fine - 49,720.0
S162678,A,720.0
S161814,A,720.0
S161746,Create Fine - 63,720.0
S161813,Create Fine - 26,720.0
S161814,Create Fine - 26,720.0
S162981,Create Fine - 49,720.0
S162987,A,720.0
S162985,A,720.0
S162583,A,720.0
S162972,Create Fine - 49,720.0
S162678,Create Fine - 65,720.0
S161759,A,720.0
S158184,Send Fine not observed within 720 hours,720.0
S161517,Create Fine - 29,720.0
S161749,Create Fine - 63,720.0
S162976,Create Fine - 49,720.0
S161692,A,720.0
S162982,Create Fine - 49,720.0
S162985,Create Fine - 49,720.0
S161745,Create Fine - 63,720.0
S158181,Send Fine not observed within 720 hours,720.0
S161695,Create Fine - 40,744.0
S161628,A,744.0
S159007,Create Fine - 42,744.0
S161695,A,744.0
C22101,Insert Fine Notification - ,744.0
S161627,A,744.0
S163901,Create Fine - 43,744.0
S163901,A,744.0
S159007,A,744.0
C22123,A,744.0
C22122,A,744.0
S161764,A,744.0
C22123,Insert Fine Notification - ,744.0
S161355,A,744.0
S161624,A,744.0
S161627,Create Fine - 44,744.0
C22123,Create Fine - 9,744.0
C22101,A,744.0
S162935,A,744.0
S161905,A,744.0
C22101,Send Fine - ,744.0
S161628,Create Fine - 44,744.0
C22101,Create Fine - 40,744.0
S162935,Create Fine - 53,744.0
S161764,Create Fine - 31,744.0
S157638,Send Fine not observed within 720 hours,744.0
S161624,Create Fine - 44,744.0
S161905,Create Fine - 63,744.0
C22122,Create Fine - 9,744.0
C22123,Send Fine - ,744.0
S162386,Send Fine not observed within 720 hours,744.0
S162937,Create Fine - 53,744.0
S162938,A,744.0
S162385,Send Fine not observed within 720 hours,744.0
S162567,Send Fine not observed within 720 hours,744.0
S162646,Send Fine not observed within 720 hours,744.0
S162937,A,744.0
S161355,Create Fine - 41,744.0
S162938,Create Fine - 53,744.0
S162888,A,768.0
C22140,A,768.0
S161910,Create Fine - 63,768.0
S162683,A,768.0
C22140,Create Fine - 52,768.0
S161910,A,768.0
C22140,Insert Fine Notification - ,768.0
S162656,Send Fine not observed within 720 hours,768.0
C22140,Send Fine - ,768.0
C22141,A,768.0
S162888,Create Fine - 11,768.0
C22141,Create Fine - 52,768.0
C22141,Insert Fine Notification - ,768.0
S162683,Create Fine - 65,768.0
C22141,Send Fine - ,768.0
S159964,Create Fine - 56,792.0
S161951,Create Fine - 40,792.0
S162587,A,792.0
S162589,Create Fine - 52,792.0
S159963,Create Fine - 56,792.0
S162588,Create Fine - 52,792.0
S161698,Create Fine - 40,792.0
S161952,Create Fine - 40,792.0
S162586,Create Fine - 52,792.0
S162587,Create Fine - 52,792.0
S161952,A,792.0
S162588,A,792.0
S162586,A,792.0
S159964,A,792.0
S133530,Create Fine - 45,792.0
S161700,Create Fine - 40,792.0
S159963,A,792.0
S159967,A,792.0
S160960,Create Fine - 50,792.0
S159967,Create Fine - 56,792.0
S157371,Send Fine not observed within 720 hours,792.0
S162589,A,792.0
S157639,Send Fine not observed within 720 hours,792.0
S154982,Create Fine - 54,792.0
S162504,Send Fine not observed within 720 hours,792.0
S154982,A,792.0
S161700,A,792.0
S161951,A,792.0
S161440,Send Fine not observed within 720 hours,792.0
S161699,A,792.0
S162388,Send Fine not observed within 720 hours,792.0
S162657,Send Fine not observed within 720 hours,792.0
S162648,Send Fine not observed within 720 hours,792.0
S161441,Send Fine not observed within 720 hours,792.0
S161699,Create Fine - 40,792.0
S162649,Send Fine not observed within 720 hours,792.0
S161698,A,792.0
S161439,Send Fine not observed within 720 hours,792.0
S160960,A,792.0
S133530,A,792.0
S162505,Send Fine not observed within 720 hours,792.0
S161633,Create Fine - 44,816.0
S158184,Send Fine - ,816.0
S161920,Create Fine - 63,816.0
S162345,Send Fine - ,816.0
S161922,Create Fine - 63,816.0
S161656,Send Fine - ,816.0
S161473,Send Fine - ,816.0
S161954,Create Fine - 40,816.0
S162385,Send Fine - ,816.0
S162723,Send Fine - ,816.0
S162719,Send Fine - ,816.0
S162516,Send Fine - ,816.0
S162718,Send Fine - ,816.0
S147847,Send Fine - ,816.0
S162509,Send Fine - ,816.0
S158131,Send Fine - ,816.0
S161919,Create Fine - 63,816.0
S161920,A,816.0
S133517,Send Fine - ,816.0
S162388,Send Fine - ,816.0
S162505,Send Fine - ,816.0
S161956,A,816.0
S162693,A,816.0
S164051,A,816.0
S161447,Send Fine - ,816.0
S162504,Send Fine - ,816.0
S162759,Create Fine - 62,816.0
S162410,Send Fine - ,816.0
S162646,Send Fine - ,816.0
S157641,Send Fine - ,816.0
S161441,Send Fine - ,816.0
S162528,Send Fine - ,816.0
S158186,Send Fine - ,816.0
S162389,Send Fine - ,816.0
S161922,A,816.0
S162701,Send Fine - ,816.0
S161634,Create Fine - 44,816.0
S162693,Create Fine - 65,816.0
S164051,Create Fine - 49,816.0
S162508,Send Fine - ,816.0
S162996,Create Fine - 49,816.0
S157371,Send Fine - ,816.0
S162420,Create Fine - 30,816.0
S162694,A,816.0
S162998,Create Fine - 49,816.0
S162990,Create Fine - 49,816.0
S162394,Send Fine - ,816.0
S162993,Create Fine - 49,816.0
S155693,Send Fine not observed within 720 hours,816.0
S162694,Create Fine - 65,816.0
S156275,Send Fine not observed within 720 hours,816.0
S155692,Send Fine not observed within 720 hours,816.0
S156277,Send Fine not observed within 720 hours,816.0
S162996,A,816.0
S162993,A,816.0
S161633,A,816.0
S161634,A,816.0
S157372,Send Fine - ,816.0
S161913,Create Fine - 63,816.0
S162990,A,816.0
S162989,A,816.0
S161919,A,816.0
S162420,A,816.0
S162698,A,816.0
S157639,Send Fine - ,816.0
S161954,A,816.0
S162991,Create Fine - 49,816.0
S158132,Send Fine - ,816.0
S162998,A,816.0
S147845,Send Fine - ,816.0
S162991,A,816.0
S162698,Create Fine - 65,816.0
S133516,Send Fine - ,816.0
S161479,Send Fine - ,816.0
S162989,Create Fine - 49,816.0
S162648,Send Fine - ,816.0
S162726,Send Fine - ,816.0
S161477,Send Fine - ,816.0
S162393,Send Fine - ,816.0
S161439,Send Fine - ,816.0
S161440,Send Fine - ,816.0
S161448,Send Fine - ,816.0
S161956,Create Fine - 40,816.0
S162759,A,816.0
S158181,Send Fine - ,816.0
S161913,A,816.0
S162521,Send Fine - ,816.0
S159957,Send Fine - ,816.0
S161449,Send Fine - ,816.0
S159958,Send Fine - ,816.0
S158898,Send Fine - ,816.0
S162707,Send Fine - ,816.0
S157638,Send Fine - ,816.0
S158900,Send Fine - ,816.0
S161961,Create Fine - 40,840.0
S162590,Create Fine - 52,840.0
S161969,Create Fine - 40,840.0
S164062,A,840.0
S162896,A,840.0
C21986,Insert Fine Notification - ,840.0
S164054,A,840.0
S155890,Create Fine - 48,840.0
S164063,A,840.0
S155886,Create Fine - 48,840.0
S161964,Create Fine - 40,840.0
S162893,A,840.0
S161958,Create Fine - 40,840.0
S161965,Create Fine - 40,840.0
S164062,Create Fine - 49,840.0
S164064,A,840.0
S164103,A,840.0
S162897,A,840.0
S161923,Create Fine - 63,840.0
S164059,Create Fine - 49,840.0
C21986,Create Fine - 40,840.0
S164060,A,840.0
S164054,Create Fine - 49,840.0
S161963,Create Fine - 40,840.0
C22077,Insert Fine Notification - ,840.0
S161969,A,840.0
S164103,Create Fine - 65,840.0
C21986,Send Fine - ,840.0
S161967,A,840.0
S161967,Create Fine - 40,840.0
S155886,A,840.0
S161963,A,840.0
C21986,A,840.0
S161961,A,840.0
S162895,Create Fine - 11,840.0
S161958,A,840.0
S164063,Create Fine - 49,840.0
S162895,A,840.0
S162896,Create Fine - 11,840.0
S161965,A,840.0
S161964,A,840.0
S161923,A,840.0
S162897,Create Fine - 11,840.0
S162590,A,840.0
S164060,Create Fine - 49,840.0
S164059,A,840.0
S162893,Create Fine - 11,840.0
C22077,Send Fine - ,840.0
S164064,Create Fine - 49,840.0
S155890,A,840.0
S162594,A,864.0
S162947,Create Fine - 53,864.0
S161635,Create Fine - 44,864.0
S155893,Create Fine - 48,864.0
S162947,A,864.0
S162944,Create Fine - 53,864.0
S164110,A,864.0
S164070,Create Fine - 49,864.0
S164110,Create Fine - 65,864.0
S164073,Create Fine - 49,864.0
S155894,Create Fine - 48,864.0
S164067,Create Fine - 49,864.0
S164073,A,864.0
S156573,Create Fine - 37,864.0
S155894,A,864.0
S162944,A,864.0
S164065,A,864.0
S156573,A,864.0
S164065,Create Fine - 49,864.0
S164068,A,864.0
S161635,A,864.0
S155893,A,864.0
S164068,Create Fine - 49,864.0
S162594,Create Fine - 52,864.0
S164070,A,864.0
S161008,Create Fine - 41,864.0
S161008,A,864.0
S164067,A,864.0
S161932,Create Fine - 63,888.0
S164111,A,888.0
S164115,A,888.0
S164114,A,888.0
S161938,A,888.0
S161938,Create Fine - 63,888.0
S162597,A,888.0
S164111,Create Fine - 65,888.0
S161932,A,888.0
S164114,Create Fine - 65,888.0
S156574,Create Fine - 37,888.0
S157675,Send Fine not observed within 720 hours,888.0
S164115,Create Fine - 65,888.0
S162597,Create Fine - 52,888.0
S156574,A,888.0
S161946,Create Fine - 63,912.0
S157082,Create Fine - 47,912.0
C21969,Send Fine - ,912.0
S157385,A,912.0
S162598,A,912.0
S164118,A,912.0
S161946,A,912.0
C21969,A,912.0
S157082,A,912.0
S164120,A,912.0
S157385,Create Fine - 43,912.0
S162598,Create Fine - 52,912.0
S164120,Create Fine - 65,912.0
S164118,Create Fine - 65,912.0
C21969,Create Fine - 49,912.0
C22079,Send Fine not observed within 720 hours,912.0
C21969,Insert Fine Notification - ,912.0
S155896,Create Fine - 48,912.0
S155896,A,912.0
S157086,Create Fine - 47,912.0
S157075,Send Fine not observed within 720 hours,912.0
S156278,Send Fine not observed within 720 hours,912.0
S157086,A,912.0
S164123,A,936.0
S161975,A,936.0
S164158,Create Fine - 11,936.0
S157092,A,936.0
C22164,A,936.0
C22164,Create Fine - 63,936.0
C22164,Send Fine - ,936.0
S157093,Create Fine - 47,936.0
S161975,Create Fine - 40,936.0
S161974,Create Fine - 40,936.0
S157092,Create Fine - 47,936.0
S157093,A,936.0
S164123,Create Fine - 65,936.0
C22164,Insert Fine Notification - ,936.0
S164122,A,936.0
S164158,A,936.0
S161974,A,936.0
S162658,Send Fine not observed within 720 hours,936.0
S162392,Send Fine not observed within 720 hours,936.0
S164122,Create Fine - 65,936.0
S159010,A,960.0
S162767,Create Fine - 62,960.0
S159008,A,960.0
S159011,A,960.0
S161553,Send Fine not observed within 720 hours,960.0
S161641,Create Fine - 44,960.0
S164203,A,960.0
S162661,Send Fine not observed within 720 hours,960.0
S161643,Create Fine - 44,960.0
S164203,Create Fine - 63,960.0
S161641,A,960.0
S161552,Send Fine not observed within 720 hours,960.0
S159008,Create Fine - 42,960.0
S159010,Create Fine - 42,960.0
S161643,A,960.0
S162767,A,960.0
S159011,Create Fine - 42,960.0
S161551,Send Fine not observed within 720 hours,960.0
S161558,Send Fine not observed within 720 hours,984.0
S161522,A,984.0
S155898,A,984.0
S162600,A,984.0
S155899,A,984.0
S157374,Send Fine not observed within 720 hours,984.0
S164165,A,984.0
S155898,Create Fine - 48,984.0
S155900,Create Fine - 48,984.0
S164163,A,984.0
S161522,Create Fine - 29,984.0
S164165,Create Fine - 11,984.0
S164161,Create Fine - 11,984.0
S155899,Create Fine - 48,984.0
S164161,A,984.0
S155900,A,984.0
S164163,Create Fine - 11,984.0
S162600,Create Fine - 52,984.0
S161824,A,1008.0
S157098,A,1008.0
S164125,A,1008.0
S157099,A,1008.0
S164171,A,1008.0
S164137,Create Fine - 65,1008.0
S164177,A,1008.0
S161819,A,1008.0
S164252,A,1008.0
S161821,A,1008.0
S161826,A,1008.0
S164207,M,1008.0
S164177,Create Fine - 11,1008.0
S164126,A,1008.0
S161818,A,1008.0
S161819,Create Fine - 26,1008.0
S164133,A,1008.0
S161826,Create Fine - 26,1008.0
S164167,A,1008.0
S164252,Create Fine - 47,1008.0
S164251,A,1008.0
S164133,Create Fine - 65,1008.0
S164251,Create Fine - 47,1008.0
S164137,A,1008.0
S164171,Create Fine - 11,1008.0
S164207,Create Fine - 63,1008.0
S164167,Create Fine - 11,1008.0
S164169,Create Fine - 11,1008.0
S164125,Create Fine - 65,1008.0
S157099,Create Fine - 47,1008.0
S164169,A,1008.0
S157098,Create Fine - 47,1008.0
S164126,Create Fine - 65,1008.0
S161821,Create Fine - 26,1008.0
S157080,Send Fine not observed within 720 hours,1008.0
S161824,Create Fine - 26,1008.0
S161818,Create Fine - 26,1008.0
S164181,A,1032.0
C22122,Send Fine - ,1032.0
S164143,A,1032.0
S164142,A,1032.0
S157804,Create Fine - 48,1032.0
S164080,Create Fine - 49,1032.0
S157805,A,1032.0
S164141,A,1032.0
S157806,Create Fine - 48,1032.0
S157805,Create Fine - 48,1032.0
C22122,Insert Fine Notification - ,1032.0
S164079,Create Fine - 49,1032.0
S164142,Create Fine - 65,1032.0
S164085,Create Fine - 49,1032.0
S164181,Create Fine - 11,1032.0
S164141,Create Fine - 65,1032.0
S164091,Create Fine - 49,1032.0
S162713,Send Fine not observed within 720 hours,1032.0
S133521,Send Fine not observed within 720 hours,1032.0
S162715,Send Fine not observed within 720 hours,1032.0
S157643,Send Fine not observed within 720 hours,1032.0
S157804,A,1032.0
S164087,Create Fine - 49,1032.0
S162664,Send Fine not observed within 720 hours,1032.0
S162665,Send Fine not observed within 720 hours,1032.0
S133523,Send Fine not observed within 720 hours,1032.0
S162712,Send Fine not observed within 720 hours,1032.0
S162519,Send Fine not observed within 720 hours,1032.0
S164085,A,1032.0
S164087,A,1032.0
S164080,A,1032.0
S164143,Create Fine - 65,1032.0
S164079,A,1032.0
S164091,A,1032.0
S157806,A,1032.0
S162708,Send Fine not observed within 720 hours,1032.0
S162517,Send Fine not observed within 720 hours,1032.0
S157813,Create Fine - 48,1056.0
S157811,Create Fine - 48,1056.0
S164208,A,1056.0
S164094,A,1056.0
S164208,Create Fine - 63,1056.0
S164147,Create Fine - 65,1056.0
S158181,Insert Fine Notification - ,1056.0
S133536,Create Fine - 45,1056.0
S164094,Create Fine - 49,1056.0
S162525,Send Fine not observed within 720 hours,1056.0
S161574,Send Fine not observed within 720 hours,1056.0
S164210,A,1056.0
S157810,A,1056.0
S164146,Create Fine - 65,1056.0
S157811,A,1056.0
S157813,A,1056.0
S133536,A,1056.0
S162717,Send Fine not observed within 720 hours,1056.0
S162858,Send Fine not observed within 720 hours,1056.0
S162859,Send Fine not observed within 720 hours,1056.0
S161571,Send Fine not observed within 720 hours,1056.0
S164147,A,1056.0
