Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,concept:instance,lifecycle:transition,concept:name,responsible,department,group,channel
case-10017,T03 Adjust confirmation of receipt - complete,Resource30,2011-10-18 13:48:30.632,Variant 31,31,Group 1,task-43676,complete,T03 Adjust confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T02 Check confirmation of receipt - complete,Resource30,2011-10-18 13:51:01.525,Variant 31,31,Group 4,task-43679,complete,T02 Check confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T03 Adjust confirmation of receipt - complete,admin2,2011-10-18 13:56:57.603,Variant 31,31,Group 1,task-43686,complete,T03 Adjust confirmation of receipt,Resource04,General,Group 5,Internet
case-10024,Confirmation of receipt - complete,Resource03,2011-10-18 15:53:19.732,Variant 1,1,EMPTY,task-43229,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10024,T02 Check confirmation of receipt - complete,Resource03,2011-10-18 15:53:38.108,Variant 1,1,Group 4,task-43727,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10024,T04 Determine confirmation of receipt - complete,Resource03,2011-10-18 15:53:53.778,Variant 1,1,Group 3,task-43729,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10024,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-18 15:54:06.717,Variant 1,1,Group 2,task-43730,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10024,T06 Determine necessity of stop advice - complete,Resource03,2011-10-18 15:54:24.121,Variant 1,1,Group 1,task-43728,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10024,T10 Determine necessity to stop indication - complete,Resource03,2011-10-18 15:57:18.847,Variant 1,1,Group 1,task-43731,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10025,Confirmation of receipt - complete,Resource03,2011-10-25 09:27:08.484,Variant 1,1,EMPTY,task-43231,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10025,T02 Check confirmation of receipt - complete,Resource03,2011-10-25 09:27:27.316,Variant 1,1,Group 4,task-44375,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10025,T04 Determine confirmation of receipt - complete,Resource03,2011-10-25 09:27:46.307,Variant 1,1,Group 3,task-44377,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10025,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-25 09:28:00.504,Variant 1,1,Group 2,task-44379,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10025,T06 Determine necessity of stop advice - complete,Resource03,2011-10-25 09:28:15.484,Variant 1,1,Group 1,task-44376,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10025,T10 Determine necessity to stop indication - complete,Resource03,2011-10-25 09:28:33.002,Variant 1,1,Group 1,task-44380,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10028,Confirmation of receipt - complete,Resource03,2011-10-25 14:13:10.744,Variant 12,12,EMPTY,task-43250,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10028,T02 Check confirmation of receipt - complete,Resource03,2011-10-25 14:13:31.837,Variant 12,12,Group 4,task-44467,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10028,T04 Determine confirmation of receipt - complete,Resource03,2011-10-25 14:13:49.542,Variant 12,12,Group 3,task-44469,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10028,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-25 14:14:24.249,Variant 12,12,Group 2,task-44470,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10028,T06 Determine necessity of stop advice - complete,Resource03,2011-10-25 14:22:15.239,Variant 12,12,Group 1,task-44468,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10028,T10 Determine necessity to stop indication - complete,Resource03,2011-10-25 14:23:06.272,Variant 12,12,Group 1,task-44471,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10028,T16 Report reasons to hold request - complete,Resource03,2011-10-25 14:23:58.755,Variant 12,12,Group 1,task-44472,complete,T16 Report reasons to hold request,Resource11,General,Group 8,Internet
case-10028,T17 Check report Y to stop indication - complete,Resource03,2011-10-25 14:24:22.922,Variant 12,12,Group 4,task-44473,complete,T17 Check report Y to stop indication,Resource11,General,Group 8,Internet
case-10028,T19 Determine report Y to stop indication - complete,Resource03,2011-10-25 14:24:55.079,Variant 12,12,Group 3,task-44474,complete,T19 Determine report Y to stop indication,Resource11,General,Group 8,Internet
case-10028,T20 Print report Y to stop indication - complete,Resource03,2011-10-25 14:25:10.989,Variant 12,12,Group 2,task-44475,complete,T20 Print report Y to stop indication,Resource11,General,Group 8,Internet
case-10059,Confirmation of receipt - complete,Resource06,2011-10-17 15:31:27.570,Variant 1,1,EMPTY,task-43463,complete,Confirmation of receipt,Resource06,General,Group 5,Internet
case-10059,T02 Check confirmation of receipt - complete,Resource06,2011-10-17 15:31:51.615,Variant 1,1,Group 4,task-43499,complete,T02 Check confirmation of receipt,Resource06,General,Group 5,Internet
case-10059,T04 Determine confirmation of receipt - complete,Resource06,2011-10-17 15:32:34.591,Variant 1,1,Group 3,task-43501,complete,T04 Determine confirmation of receipt,Resource06,General,Group 5,Internet
case-10059,T05 Print and send confirmation of receipt - complete,Resource06,2011-10-17 15:33:42.796,Variant 1,1,Group 2,task-43503,complete,T05 Print and send confirmation of receipt,Resource06,General,Group 5,Internet
case-10059,T06 Determine necessity of stop advice - complete,Resource06,2011-10-17 15:34:25.518,Variant 1,1,Group 1,task-43500,complete,T06 Determine necessity of stop advice,Resource06,General,Group 5,Internet
case-10059,T10 Determine necessity to stop indication - complete,Resource06,2011-10-17 15:41:19.472,Variant 1,1,Group 1,task-43504,complete,T10 Determine necessity to stop indication,Resource06,General,Group 5,Internet
case-10061,Confirmation of receipt - complete,Resource03,2011-10-24 15:00:50.433,Variant 2,2,EMPTY,task-43657,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10061,T06 Determine necessity of stop advice - complete,Resource03,2011-10-24 15:01:21.907,Variant 2,2,Group 1,task-44274,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10061,T10 Determine necessity to stop indication - complete,Resource03,2011-10-24 15:01:44.536,Variant 2,2,Group 1,task-44275,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10061,T02 Check confirmation of receipt - complete,Resource03,2011-10-24 15:01:59.826,Variant 2,2,Group 4,task-44273,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10061,T04 Determine confirmation of receipt - complete,Resource03,2011-10-24 15:02:16.227,Variant 2,2,Group 3,task-44277,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10061,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-24 15:02:32.399,Variant 2,2,Group 2,task-44279,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10062,Confirmation of receipt - complete,admin2,2011-10-18 13:34:39.087,Variant 3,3,Group 1,task-43664,complete,Confirmation of receipt,admin3,Customer contact,,Internet
case-10065,Confirmation of receipt - complete,Resource06,2011-10-28 10:31:29.136,Variant 1,1,EMPTY,task-43698,complete,Confirmation of receipt,Resource06,General,Group 5,Internet
case-10065,T02 Check confirmation of receipt - complete,Resource06,2011-10-28 10:31:49.811,Variant 1,1,Group 4,task-44947,complete,T02 Check confirmation of receipt,Resource06,General,Group 5,Internet
case-10065,T04 Determine confirmation of receipt - complete,Resource06,2011-10-28 10:32:08.374,Variant 1,1,Group 3,task-44949,complete,T04 Determine confirmation of receipt,Resource06,General,Group 5,Internet
case-10065,T05 Print and send confirmation of receipt - complete,Resource06,2011-10-28 10:32:49.753,Variant 1,1,Group 2,task-44950,complete,T05 Print and send confirmation of receipt,Resource06,General,Group 5,Internet
case-10065,T06 Determine necessity of stop advice - complete,Resource06,2011-10-28 10:45:06.394,Variant 1,1,Group 1,task-44948,complete,T06 Determine necessity of stop advice,Resource06,General,Group 5,Internet
case-10065,T10 Determine necessity to stop indication - complete,Resource06,2011-10-28 11:01:50.118,Variant 1,1,Group 1,task-44955,complete,T10 Determine necessity to stop indication,Resource06,General,Group 5,Internet
case-10066,Confirmation of receipt - complete,Resource22,2011-11-22 13:46:36.256,Variant 1,1,EMPTY,task-43721,complete,Confirmation of receipt,Resource22,General,Group 5,Internet
case-10066,T02 Check confirmation of receipt - complete,Resource22,2011-11-22 13:48:39.989,Variant 1,1,Group 4,task-47561,complete,T02 Check confirmation of receipt,Resource22,General,Group 5,Internet
case-10066,T04 Determine confirmation of receipt - complete,Resource22,2011-11-22 13:49:21.982,Variant 1,1,Group 3,task-47565,complete,T04 Determine confirmation of receipt,Resource22,General,Group 5,Internet
case-10066,T05 Print and send confirmation of receipt - complete,Resource22,2011-11-22 13:52:51.629,Variant 1,1,Group 2,task-47570,complete,T05 Print and send confirmation of receipt,Resource22,General,Group 5,Internet
case-10066,T06 Determine necessity of stop advice - complete,Resource22,2011-11-22 13:57:59.101,Variant 1,1,Group 1,task-47562,complete,T06 Determine necessity of stop advice,Resource22,General,Group 5,Internet
case-10066,T10 Determine necessity to stop indication - complete,Resource22,2011-11-22 13:59:50.916,Variant 1,1,Group 1,task-47579,complete,T10 Determine necessity to stop indication,Resource22,General,Group 5,Internet
case-10067,Confirmation of receipt - complete,Resource13,2011-11-09 20:39:03.392,Variant 1,1,EMPTY,task-43787,complete,Confirmation of receipt,Resource13,General,Group 5,Internet
case-10067,T02 Check confirmation of receipt - complete,Resource13,2011-11-09 20:39:34.137,Variant 1,1,EMPTY,task-46129,complete,T02 Check confirmation of receipt,Resource13,General,Group 5,Internet
case-10067,T04 Determine confirmation of receipt - complete,Resource13,2011-11-09 20:40:02.334,Variant 1,1,EMPTY,task-46131,complete,T04 Determine confirmation of receipt,Resource13,General,Group 5,Internet
case-10067,T05 Print and send confirmation of receipt - complete,Resource13,2011-11-09 20:40:26.677,Variant 1,1,EMPTY,task-46132,complete,T05 Print and send confirmation of receipt,Resource13,General,Group 5,Internet
case-10067,T06 Determine necessity of stop advice - complete,Resource13,2011-11-09 20:40:49.698,Variant 1,1,Group 1,task-46130,complete,T06 Determine necessity of stop advice,Resource13,General,Group 5,Internet
case-10067,T10 Determine necessity to stop indication - complete,Resource13,2011-11-09 20:41:13.745,Variant 1,1,Group 1,task-46133,complete,T10 Determine necessity to stop indication,Resource13,General,Group 5,Internet
case-10068,Confirmation of receipt - complete,Resource20,2011-10-20 12:39:37.946,Variant 1,1,EMPTY,task-43788,complete,Confirmation of receipt,Resource06,General,Group 5,Internet
case-10068,T02 Check confirmation of receipt - complete,Resource20,2011-10-20 12:40:07.912,Variant 1,1,Group 4,task-43991,complete,T02 Check confirmation of receipt,Resource06,General,Group 5,Internet
case-10068,T04 Determine confirmation of receipt - complete,Resource20,2011-10-20 12:40:31.903,Variant 1,1,Group 3,task-43993,complete,T04 Determine confirmation of receipt,Resource06,General,Group 5,Internet
case-10068,T05 Print and send confirmation of receipt - complete,Resource20,2011-10-20 12:41:02.031,Variant 1,1,Group 2,task-43994,complete,T05 Print and send confirmation of receipt,Resource06,General,Group 5,Internet
case-10068,T06 Determine necessity of stop advice - complete,Resource20,2011-10-20 12:41:28.600,Variant 1,1,Group 1,task-43992,complete,T06 Determine necessity of stop advice,Resource06,General,Group 5,Internet
case-10068,T10 Determine necessity to stop indication - complete,Resource20,2011-10-20 12:42:01.990,Variant 1,1,Group 1,task-43995,complete,T10 Determine necessity to stop indication,Resource06,General,Group 5,Internet
case-10069,Confirmation of receipt - complete,Resource08,2011-11-07 15:10:10.205,Variant 1,1,EMPTY,task-43792,complete,Confirmation of receipt,Resource08,General,Group 5,Internet
case-10069,T02 Check confirmation of receipt - complete,Resource08,2011-11-07 15:11:51.689,Variant 1,1,EMPTY,task-45608,complete,T02 Check confirmation of receipt,Resource08,General,Group 5,Internet
case-10069,T04 Determine confirmation of receipt - complete,Resource08,2011-11-07 15:12:53.254,Variant 1,1,EMPTY,task-45610,complete,T04 Determine confirmation of receipt,Resource08,General,Group 5,Internet
case-10069,T05 Print and send confirmation of receipt - complete,Resource08,2011-11-07 15:13:17.976,Variant 1,1,EMPTY,task-45611,complete,T05 Print and send confirmation of receipt,Resource08,General,Group 5,Internet
case-10069,T06 Determine necessity of stop advice - complete,Resource08,2011-11-07 15:14:49.848,Variant 1,1,Group 1,task-45609,complete,T06 Determine necessity of stop advice,Resource08,General,Group 5,Internet
case-10069,T10 Determine necessity to stop indication - complete,Resource08,2011-11-07 15:16:47.427,Variant 1,1,Group 1,task-45612,complete,T10 Determine necessity to stop indication,Resource08,General,Group 5,Internet
case-10070,Confirmation of receipt - complete,Resource13,2011-11-09 19:43:25.050,Variant 17,17,EMPTY,task-43793,complete,Confirmation of receipt,Resource13,General,Group 5,Internet
case-10070,T06 Determine necessity of stop advice - complete,Resource13,2011-11-09 19:43:50.463,Variant 17,17,Group 1,task-46107,complete,T06 Determine necessity of stop advice,Resource13,General,Group 5,Internet
case-10070,T02 Check confirmation of receipt - complete,Resource13,2011-11-09 19:44:27.071,Variant 17,17,EMPTY,task-46106,complete,T02 Check confirmation of receipt,Resource13,General,Group 5,Internet
case-10070,T04 Determine confirmation of receipt - complete,Resource13,2011-11-09 19:44:58.894,Variant 17,17,EMPTY,task-46109,complete,T04 Determine confirmation of receipt,Resource13,General,Group 5,Internet
case-10070,T10 Determine necessity to stop indication - complete,Resource13,2011-11-09 19:45:21.385,Variant 17,17,Group 1,task-46108,complete,T10 Determine necessity to stop indication,Resource13,General,Group 5,Internet
case-10070,T05 Print and send confirmation of receipt - complete,Resource13,2011-11-09 19:48:48.443,Variant 17,17,Group 2,task-46110,complete,T05 Print and send confirmation of receipt,Resource13,General,Group 5,Internet
case-10071,Confirmation of receipt - complete,Resource21,2011-10-19 09:56:55.204,Variant 8,8,Group 1,task-43844,complete,Confirmation of receipt,Resource21,General,Group 2,Internet
case-10071,T02 Check confirmation of receipt - complete,Resource21,2011-10-19 09:57:39.722,Variant 8,8,Group 4,task-43846,complete,T02 Check confirmation of receipt,Resource21,General,Group 2,Internet
case-10071,T04 Determine confirmation of receipt - complete,Resource21,2011-10-19 09:58:15.323,Variant 8,8,Group 3,task-43848,complete,T04 Determine confirmation of receipt,Resource21,General,Group 2,Internet
case-10071,T05 Print and send confirmation of receipt - complete,Resource21,2011-10-19 09:58:36.018,Variant 8,8,Group 2,task-43849,complete,T05 Print and send confirmation of receipt,Resource21,General,Group 2,Internet
case-10071,T06 Determine necessity of stop advice - complete,Resource21,2011-10-19 09:58:54.326,Variant 8,8,Group 1,task-43847,complete,T06 Determine necessity of stop advice,Resource21,General,Group 2,Internet
case-10071,T10 Determine necessity to stop indication - complete,Resource21,2011-10-20 14:06:59.060,Variant 8,8,Group 1,task-43850,complete,T10 Determine necessity to stop indication,Resource21,General,Group 2,Internet
case-10071,T11 Create document X request unlicensed - complete,Resource21,2012-01-18 09:48:33.680,Variant 8,8,Group 1,task-44022,complete,T11 Create document X request unlicensed,Resource21,General,Group 2,Internet
case-10071,T12 Check document X request unlicensed - complete,Resource21,2012-01-18 09:49:09.359,Variant 8,8,Group 4,task-53047,complete,T12 Check document X request unlicensed,Resource21,General,Group 2,Internet
case-10071,T14 Determine document X request unlicensed - complete,Resource21,2012-01-18 09:49:44.753,Variant 8,8,Group 3,task-53049,complete,T14 Determine document X request unlicensed,Resource21,General,Group 2,Internet
case-10071,T15 Print document X request unlicensed - complete,Resource21,2012-01-18 09:50:57.577,Variant 8,8,Group 2,task-53051,complete,T15 Print document X request unlicensed,Resource21,General,Group 2,Internet
case-10072,Confirmation of receipt - complete,Resource02,2011-10-31 11:09:14.275,Variant 1,1,EMPTY,task-43796,complete,Confirmation of receipt,admin1,General,,Internet
case-10072,T02 Check confirmation of receipt - complete,Resource02,2011-10-31 11:10:03.929,Variant 1,1,Group 4,task-45103,complete,T02 Check confirmation of receipt,admin1,General,,Internet
case-10072,T04 Determine confirmation of receipt - complete,Resource02,2011-10-31 11:10:37.260,Variant 1,1,Group 3,task-45105,complete,T04 Determine confirmation of receipt,admin1,General,,Internet
case-10072,T05 Print and send confirmation of receipt - complete,Resource02,2011-10-31 11:10:54.423,Variant 1,1,Group 2,task-45106,complete,T05 Print and send confirmation of receipt,admin1,General,,Internet
case-10072,T06 Determine necessity of stop advice - complete,Resource02,2011-10-31 11:36:38.174,Variant 1,1,Group 1,task-45104,complete,T06 Determine necessity of stop advice,admin1,General,,Internet
case-10072,T10 Determine necessity to stop indication - complete,Resource02,2011-10-31 11:37:11.319,Variant 1,1,Group 1,task-45129,complete,T10 Determine necessity to stop indication,admin1,General,,Internet
case-10073,Confirmation of receipt - complete,Resource22,2011-11-29 14:28:08.930,Variant 32,32,EMPTY,task-43868,complete,Confirmation of receipt,Resource22,General,Group 5,Internet
case-10073,T02 Check confirmation of receipt - complete,Resource22,2011-11-29 14:40:03.247,Variant 32,32,Group 4,task-48486,complete,T02 Check confirmation of receipt,Resource22,General,Group 5,Internet
case-10073,T04 Determine confirmation of receipt - complete,Resource22,2011-11-29 14:40:32.371,Variant 32,32,Group 3,task-48490,complete,T04 Determine confirmation of receipt,Resource22,General,Group 5,Internet
case-10073,T05 Print and send confirmation of receipt - complete,Resource22,2011-11-29 14:41:12.227,Variant 32,32,Group 2,task-48491,complete,T05 Print and send confirmation of receipt,Resource22,General,Group 5,Internet
case-10073,T06 Determine necessity of stop advice - complete,Resource22,2011-11-29 14:42:10.340,Variant 32,32,Group 1,task-48487,complete,T06 Determine necessity of stop advice,Resource22,General,Group 5,Internet
case-10073,T07-1 Draft intern advice aspect 1 - complete,Resource22,2011-11-30 10:53:50.203,Variant 32,32,Group 13,task-48493,complete,T07-1 Draft intern advice aspect 1,Resource22,General,Group 5,Internet
case-10073,T08 Draft and send request for advice - complete,Resource22,2011-11-30 10:54:46.581,Variant 32,32,Group 1,task-48492,complete,T08 Draft and send request for advice,Resource22,General,Group 5,Internet
case-10073,T09-1 Process or receive external advice from party 1 - complete,Resource22,2011-11-30 11:02:33.530,Variant 32,32,Group 1,task-48562,complete,T09-1 Process or receive external advice from party 1,Resource22,General,Group 5,Internet
case-10073,T06 Determine necessity of stop advice - complete,Resource22,2011-11-30 11:04:28.307,Variant 32,32,Group 1,task-48563,complete,T06 Determine necessity of stop advice,Resource22,General,Group 5,Internet
case-10073,T10 Determine necessity to stop indication - complete,Resource22,2011-11-30 11:05:12.807,Variant 32,32,Group 1,task-48564,complete,T10 Determine necessity to stop indication,Resource22,General,Group 5,Internet
case-10075,Confirmation of receipt - complete,admin2,2011-10-20 11:57:52.783,Variant 3,3,Group 1,task-43984,complete,Confirmation of receipt,admin3,Customer contact,,Internet
case-10087,Confirmation of receipt - complete,Resource03,2011-10-24 15:57:27.372,Variant 1,1,EMPTY,task-43905,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10087,T02 Check confirmation of receipt - complete,Resource03,2011-10-24 15:57:45.747,Variant 1,1,Group 4,task-44298,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10087,T04 Determine confirmation of receipt - complete,Resource03,2011-10-24 15:58:02.043,Variant 1,1,Group 3,task-44300,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10087,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-24 15:58:19.298,Variant 1,1,Group 2,task-44301,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10087,T06 Determine necessity of stop advice - complete,Resource03,2011-10-24 15:58:34.305,Variant 1,1,Group 1,task-44299,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10087,T10 Determine necessity to stop indication - complete,Resource03,2011-10-24 15:58:55.006,Variant 1,1,Group 1,task-44302,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10089,Confirmation of receipt - complete,Resource20,2011-10-18 16:12:35.899,Variant 33,33,Group 1,task-43627,complete,Confirmation of receipt,Resource20,General,Group 2,Internet
case-10089,T02 Check confirmation of receipt - complete,Resource20,2011-10-18 16:14:00.020,Variant 33,33,EMPTY,task-43748,complete,T02 Check confirmation of receipt,Resource20,General,Group 2,Internet
case-10089,T04 Determine confirmation of receipt - complete,Resource20,2011-10-18 16:14:55.271,Variant 33,33,EMPTY,task-43751,complete,T04 Determine confirmation of receipt,Resource20,General,Group 2,Internet
case-10089,T05 Print and send confirmation of receipt - complete,Resource20,2011-10-18 16:15:26.326,Variant 33,33,Group 2,task-43755,complete,T05 Print and send confirmation of receipt,Resource20,General,Group 2,Internet
case-10089,T06 Determine necessity of stop advice - complete,Resource20,2011-10-18 16:16:01.203,Variant 33,33,Group 1,task-43749,complete,T06 Determine necessity of stop advice,Resource20,General,Group 2,Internet
case-10089,T10 Determine necessity to stop indication - complete,Resource20,2011-10-18 16:16:30.526,Variant 33,33,Group 1,task-43759,complete,T10 Determine necessity to stop indication,Resource20,General,Group 2,Internet
case-10089,T11 Create document X request unlicensed - complete,admin2,2011-10-24 12:02:20.931,Variant 33,33,Group 1,task-43760,complete,T11 Create document X request unlicensed,Resource20,General,Group 2,Internet
case-10090,Confirmation of receipt - complete,Resource03,2011-10-24 16:25:16.886,Variant 1,1,EMPTY,task-43906,complete,Confirmation of receipt,Resource01,General,Group 8,Internet
case-10090,T02 Check confirmation of receipt - complete,Resource03,2011-10-24 16:25:48.093,Variant 1,1,Group 4,task-44319,complete,T02 Check confirmation of receipt,Resource01,General,Group 8,Internet
case-10090,T04 Determine confirmation of receipt - complete,Resource03,2011-10-24 16:26:08.810,Variant 1,1,Group 3,task-44321,complete,T04 Determine confirmation of receipt,Resource01,General,Group 8,Internet
case-10090,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-24 16:26:35.495,Variant 1,1,Group 2,task-44322,complete,T05 Print and send confirmation of receipt,Resource01,General,Group 8,Internet
case-10090,T06 Determine necessity of stop advice - complete,Resource03,2011-10-24 16:27:22.161,Variant 1,1,Group 1,task-44320,complete,T06 Determine necessity of stop advice,Resource01,General,Group 8,Internet
case-10090,T10 Determine necessity to stop indication - complete,Resource03,2011-10-24 16:27:44.390,Variant 1,1,Group 1,task-44323,complete,T10 Determine necessity to stop indication,Resource01,General,Group 8,Internet
case-10094,Confirmation of receipt - complete,Resource03,2011-10-25 15:07:27.732,Variant 1,1,EMPTY,task-43907,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10094,T02 Check confirmation of receipt - complete,Resource03,2011-10-25 15:07:50.830,Variant 1,1,Group 4,task-44511,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10094,T04 Determine confirmation of receipt - complete,Resource03,2011-10-25 15:08:07.876,Variant 1,1,Group 3,task-44513,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10094,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-25 15:08:27.483,Variant 1,1,Group 2,task-44514,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10094,T06 Determine necessity of stop advice - complete,Resource03,2011-10-25 15:08:48.537,Variant 1,1,Group 1,task-44512,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10094,T10 Determine necessity to stop indication - complete,Resource03,2011-10-25 15:09:15.981,Variant 1,1,Group 1,task-44515,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10095,Confirmation of receipt - complete,admin2,2011-11-14 09:26:07.385,Variant 3,3,EMPTY,task-44056,complete,Confirmation of receipt,Resource05,General,Group 5,Internet
case-10098,Confirmation of receipt - complete,Resource03,2011-10-25 16:06:58.586,Variant 1,1,EMPTY,task-44006,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10098,T02 Check confirmation of receipt - complete,Resource03,2011-10-25 16:07:20.077,Variant 1,1,Group 4,task-44538,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10098,T04 Determine confirmation of receipt - complete,Resource03,2011-10-25 16:07:48.289,Variant 1,1,Group 3,task-44540,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10098,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-25 16:08:23.484,Variant 1,1,Group 2,task-44541,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10098,T06 Determine necessity of stop advice - complete,Resource03,2011-10-25 16:08:54.842,Variant 1,1,Group 1,task-44539,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
case-10098,T10 Determine necessity to stop indication - complete,Resource03,2011-10-25 16:09:21.982,Variant 1,1,Group 1,task-44542,complete,T10 Determine necessity to stop indication,Resource11,General,Group 8,Internet
case-10099,Confirmation of receipt - complete,Resource03,2011-10-26 09:04:38.421,Variant 1,1,EMPTY,task-44008,complete,Confirmation of receipt,Resource11,General,Group 8,Internet
case-10099,T02 Check confirmation of receipt - complete,Resource03,2011-10-26 09:04:58.466,Variant 1,1,Group 4,task-44588,complete,T02 Check confirmation of receipt,Resource11,General,Group 8,Internet
case-10099,T04 Determine confirmation of receipt - complete,Resource03,2011-10-26 09:05:15.074,Variant 1,1,Group 3,task-44590,complete,T04 Determine confirmation of receipt,Resource11,General,Group 8,Internet
case-10099,T05 Print and send confirmation of receipt - complete,Resource03,2011-10-26 09:05:29.235,Variant 1,1,Group 2,task-44591,complete,T05 Print and send confirmation of receipt,Resource11,General,Group 8,Internet
case-10099,T06 Determine necessity of stop advice - complete,Resource03,2011-10-26 09:05:43.792,Variant 1,1,Group 1,task-44589,complete,T06 Determine necessity of stop advice,Resource11,General,Group 8,Internet
